,epochs,validation_split,callbacks,batch_size,optimizer,learning_rate,activation,n_branch_outputs,dropout,reg
1,1000,0.1,[<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f8a0ec95f10>],64,sgd,0.001,elu,1,0.25,0
2,1000,0.2,[<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f8a0ec95f10>],64,sgd,0.001,elu,4,0.125,0
3,1000,0.1,[<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f8a0ec95f10>],64,sgd,0.001,elu,4,0.25,0.005
4,1000,0.1,[<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f8a0ec95f10>],64,sgd,0.001,elu,8,0,0.005
5,1000,0.2,[<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f8a0ec95f10>],32,sgd,0.001,elu,1,0.25,0
6,1000,0.1,[<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f8a0ec95f10>],64,sgd,0.001,elu,8,0.125,0.01
7,1000,0.1,[<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f8a0ec95f10>],64,sgd,0.001,elu,4,0.125,0
8,1000,0.2,[<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f8a0ec95f10>],64,sgd,0.001,elu,8,0,0
9,1000,0.1,[<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f8a0ec95f10>],32,sgd,0.001,elu,4,0.125,0.01
10,1000,0.2,[<tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f8a0ec95f10>],32,sgd,0.001,elu,4,0.125,0.01
